time,running_objective,current_value,episode_id,iteration_id,throttle action [µm],jet length [mm],jet velocity [mm/s],piston position [µm],piston velocity [µm/s],throttle position [µm]
0.0,3.710643090512779,0.003710643090512779,1,1,19.99999997896318,0.0,0.0,1000.0,0.0,0.0
0.0009999999999997715,2.9196881338513894,0.0066303312243641685,1,1,19.999999908294242,0.21759346547414338,432.48203224573524,1000.0592398209753,117.7432332789014,7.856631091286916
0.0019999000000002366,1.287057656532245,0.007917388880896414,1,1,3.366562975749485,0.79181732394631,694.2311185191879,1000.2155722664444,189.00442201684888,12.62961747747955
0.0029998999999986346,0.2994865801779977,0.008216875461074412,1,1,-7.1111513693762225,1.3790492883952998,495.24064748066195,1000.3754461687656,134.82926627661018,8.999251887985015
0.0039998999999974385,0.05782638578259671,0.008274701846857009,1,1,0.7509235123581773,1.6858317846357378,146.5206898553943,1000.4589677033671,39.89025781313109,2.659629575033106
0.004999800000000173,0.013570686363536023,0.008288272533220545,1,1,-1.4916583413142193,1.8098096702508846,105.05530350590718,1000.4927206827258,28.601306379483223,1.9068581788814187
0.005999700000002908,0.002633659051066893,0.008290906192271612,1,1,0.15375326608116507,1.874983771229079,31.389020969936386,1000.5104643317171,8.545660959065179,0.5697143937929153
0.006999600000005642,0.000616130050105635,0.008291522322321719,1,1,-0.31677768240775267,1.9014809920837186,22.3657222853692,1000.5176782000948,6.089067892191764,0.4059395228798616
0.007999500000006755,0.00011963279523009026,0.008291641955116948,1,1,0.03195946217952094,1.9153652813909723,6.704835280109877,1000.5214581978587,1.8253914050099136,0.12169299259850261
0.008999500000000816,2.798822540378942e-05,0.008291669943342352,1,1,-0.06660599285071032,1.9210125692611002,4.750174925122599,1000.5229956719813,1.2932351233646275,0.08621583016147207
0.009999499999994877,5.4203482628663575e-06,0.008291675363690614,1,1,0.00552120210413504,1.9239747950314563,1.4507101032926102,1000.5238021379473,0.3949558256214131,0.02633043320434627
